Date,Adj Close
2013-08-30,3073.81005859375
2013-09-03,3091.760009765625
2013-09-04,3124.5400390625
2013-09-05,3129.93994140625
2013-09-06,3133.3798828125
2013-09-09,3169.929931640625
2013-09-10,3185.070068359375
2013-09-11,3179.860107421875
2013-09-12,3175.570068359375
2013-09-13,3178.280029296875
2013-09-16,3168.68994140625
2013-09-17,3190.830078125
2013-09-18,3231.31005859375
2013-09-19,3237.610107421875
2013-09-20,3224.72998046875
2013-09-23,3219.340087890625
2013-09-24,3218.659912109375
2013-09-25,3208.550048828125
2013-09-26,3234.0400390625
2013-09-27,3230.300048828125
2013-09-30,3218.199951171875
2013-10-01,3253.050048828125
2013-10-02,3253.260009765625
2013-10-03,3213.830078125
2013-10-04,3242.570068359375
2013-10-07,3215.68994140625
2013-10-08,3153.8701171875
2013-10-09,3142.5400390625
2013-10-10,3210.840087890625
2013-10-11,3233.830078125
2013-10-14,3256.02001953125
2013-10-15,3244.659912109375
2013-10-16,3281.669921875
2013-10-17,3301.280029296875
2013-10-18,3353.8798828125
2013-10-21,3361.179931640625
2013-10-22,3366.929931640625
2013-10-23,3346.050048828125
2013-10-24,3362.3798828125
2013-10-25,3383.830078125
2013-10-28,3382.679931640625
2013-10-29,3391.75
2013-10-30,3385.3798828125
2013-10-31,3377.72998046875
2013-11-01,3379.760009765625
2013-11-04,3384.75
2013-11-05,3388.820068359375
2013-11-06,3385.3798828125
2013-11-07,3321.409912109375
2013-11-08,3366.840087890625
2013-11-11,3362.97998046875
2013-11-12,3365.22998046875
2013-11-13,3405.56005859375
2013-11-14,3415.139892578125
2013-11-15,3422.580078125
2013-11-18,3388.8701171875
2013-11-19,3378.1298828125
2013-11-20,3367.169921875
2013-11-21,3402.739990234375
2013-11-22,3422.02001953125
2013-11-25,3427.489990234375
2013-11-26,3445.760009765625
2013-11-27,3470.47998046875
2013-11-29,3487.820068359375
2013-12-02,3481.14990234375
2013-12-03,3479.340087890625
2013-12-04,3483.010009765625
2013-12-05,3477.72998046875
2013-12-06,3504.260009765625
2013-12-09,3516.169921875
2013-12-10,3514.199951171875
2013-12-11,3468.989990234375
2013-12-12,3460.2900390625
2013-12-13,3456.39990234375
2013-12-16,3475.7900390625
2013-12-17,3469.320068359375
2013-12-18,3509.6298828125
2013-12-19,3498.6298828125
2013-12-20,3531.18994140625
2013-12-23,3569.39990234375
2013-12-24,3572.800048828125
2013-12-26,3584.580078125
2013-12-27,3574.02001953125
2013-12-30,3570.080078125
2013-12-31,3592.0
2014-01-02,3563.570068359375
2014-01-03,3538.72998046875
2014-01-06,3526.9599609375
2014-01-07,3557.85009765625
2014-01-08,3567.5400390625
2014-01-09,3552.580078125
2014-01-10,3565.080078125
2014-01-13,3512.800048828125
2014-01-14,3580.64990234375
2014-01-15,3609.840087890625
2014-01-16,3611.2900390625
2014-01-17,3591.25
2014-01-21,3617.699951171875
2014-01-22,3627.719970703125
2014-01-23,3613.760009765625
2014-01-24,3541.47998046875
2014-01-27,3509.02001953125
2014-01-28,3505.719970703125
2014-01-29,3467.820068359375
2014-01-30,3532.409912109375
2014-01-31,3521.919921875
2014-02-03,3440.5
2014-02-04,3470.199951171875
2014-02-05,3454.89990234375
2014-02-06,3497.60009765625
2014-02-07,3561.909912109375
2014-02-10,3582.110107421875
2014-02-11,3621.719970703125
2014-02-12,3627.360107421875
2014-02-13,3659.56005859375
2014-02-14,3663.8798828125
2014-02-18,3679.429931640625
2014-02-19,3652.85009765625
2014-02-20,3671.929931640625
2014-02-21,3662.60009765625
2014-02-24,3685.81005859375
2014-02-25,3679.139892578125
2014-02-26,3676.60009765625
2014-02-27,3699.800048828125
2014-02-28,3696.10009765625
2014-03-03,3668.3701171875
2014-03-04,3719.929931640625
2014-03-05,3727.18994140625
2014-03-06,3720.929931640625
2014-03-07,3703.39990234375
2014-03-10,3706.340087890625
2014-03-11,3691.5
2014-03-12,3707.06005859375
2014-03-13,3651.489990234375
2014-03-14,3627.8701171875
2014-03-17,3662.510009765625
2014-03-18,3706.6201171875
2014-03-19,3682.739990234375
2014-03-20,3693.969970703125
2014-03-21,3653.070068359375
2014-03-24,3617.389892578125
2014-03-25,3629.72998046875
2014-03-26,3582.889892578125
2014-03-27,3563.1298828125
2014-03-28,3571.489990234375
2014-03-31,3595.739990234375
2014-04-01,3658.39990234375
2014-04-02,3665.989990234375
2014-04-03,3637.580078125
2014-04-04,3539.3798828125
2014-04-07,3507.75
2014-04-08,3538.22998046875
2014-04-09,3600.43994140625
2014-04-10,3487.760009765625
2014-04-11,3446.85009765625
2014-04-14,3474.6298828125
2014-04-15,3487.85009765625
2014-04-16,3533.090087890625
2014-04-17,3534.530029296875
2014-04-21,3559.949951171875
2014-04-22,3588.81005859375
2014-04-23,3557.0400390625
2014-04-24,3591.030029296875
2014-04-25,3533.10009765625
2014-04-28,3545.030029296875
2014-04-29,3573.989990234375
2014-04-30,3582.02001953125
2014-05-01,3594.360107421875
2014-05-02,3587.639892578125
2014-05-05,3605.090087890625
2014-05-06,3556.510009765625
2014-05-07,3546.469970703125
2014-05-08,3540.419921875
2014-05-09,3555.699951171875
2014-05-12,3612.72998046875
2014-05-13,3611.1298828125
2014-05-14,3593.25
2014-05-15,3565.169921875
2014-05-16,3587.199951171875
2014-05-19,3615.6201171875
2014-05-20,3600.31005859375
2014-05-21,3635.610107421875
2014-05-22,3650.860107421875
2014-05-23,3677.330078125
2014-05-27,3723.070068359375
2014-05-28,3712.260009765625
2014-05-29,3735.719970703125
2014-05-30,3736.820068359375
2014-06-02,3732.9599609375
2014-06-03,3730.070068359375
2014-06-04,3743.590087890625
2014-06-05,3776.949951171875
2014-06-06,3794.570068359375
2014-06-09,3795.739990234375
2014-06-10,3800.860107421875
2014-06-11,3797.85009765625
