,2021-11-05
AAPL,0.4967430511483306
AMZN,0.29787674103285733
BIIB,0.1121682242893487
CMCSA,0.15222843409059217
CME,0.23292212608493523
COST,0.5095000695382679
CSCO,0.2455536945069483
EA,0.13495479253314846
EBAY,0.4738037088177698
GOOG,0.6186980858903615
HD,0.4088701657792422
HON,0.23571815985164135
INTC,0.03649858090136471
JPM,0.3719500823009143
LULU,0.6734591947133157
META,0.3333033402183021
MSFT,0.62730705529826
NFLX,0.45832814311868875
NVDA,1.6816792996299936
ORLY,0.37567347637649817
PEP,0.23520840383551378
PFE,0.37149554878917357
PYPL,0.22574635874418303
QCOM,0.5609639349747577
SBUX,0.2768829547388867
TSLA,2.9353231023343413
TXN,0.32666776811243525
VRTX,-0.022364120796895426
WDAY,0.44280375109681414
XEL,0.04264000916146937
